#OTU ID	GF1cN	GF1cM	GF1sN	GF1sM	GF2cN	GF2cM	GF2sN	GF2sM	GF3cN	GF3cM	GF3sN	SG2cM	LG1cN	LG1cM	LG1sN	LG1sM	LG2cN	LG2cM	LG2sN	LG2sM	LG3cN	LG3cM	LG3sN	LG3sM	SG1cN	SG1cM	SG1sN	SG1sM	SG2cN	GF3sM	SG2sN	SG2sM	SG3cN	SG3cM	SG3sN	SG3sM	T1cN	T1cM	T1sN	T1sM	T2cN	T2cM	T2sN	T2sM	T3cN	T3cM	T3sN	T3sM
OTU_336	13	0	0	0	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_479	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_256	4	62	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_150	1	0	0	0	0	16	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	198	2	2	3	0	0	0	4	24	0	6
OTU_419	10	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
OTU_767	2	0	1	0	32	7	2	1	5	4	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	7	0	5	0	1	0	0	1	3	1	0
OTU_403	13	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU_31	6	72	0	54	26	93	1	8	44	5	0	0	137	59	16	0	0	4	0	0	0	0	10	0	0	2	78	0	0	5	0	0	0	1	1	0	69	612	8	20	50	13	5	31	3	66	0	46
OTU_404	3	0	0	0	29	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0
OTU_583	5	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_135	62	0	28	0	26	62	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	119	18	32	16	2	1	0	6	34	0	90
OTU_905	1	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	1	0	3
OTU_344	1	0	2	0	0	0	0	4	0	0	0	0	0	0	6	0	0	1	0	0	19	0	10	5	7	0	0	0	0	10	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_871	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_414	5	0	7	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_109	21	0	6	0	0	60	0	2	45	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	68	0	0	6	16	1	0	1	0	0	6
OTU_259	8	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU_8	9	130	1	2	185	699	0	6	16	67	0	2	283	2714	14	0	132	49	50	0	203	210	22	5	170	240	0	21	104	450	2988	0	374	42	15	0	143	156	0	7	76	84	0	2	54	28	0	70
OTU_193	164	0	0	0	0	0	0	0	0	0	0	5	0	0	0	30	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_210	32	0	0	0	49	3	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_352	9	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0
OTU_77	30	0	0	0	187	0	39	0	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_41	22	0	79	0	45	0	118	23	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	82	51	9	5	6	25	29	44	73	83	65
OTU_657	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_349	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	4	0	0	14
OTU_47	31	0	3	0	107	125	53	3	146	43	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	8	271	2	1	0	3	0	20	0	31
OTU_223	3	0	0	1	0	0	0	0	0	0	0	0	26	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	47	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_845	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU_440	5	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	4	3	0	0	0
OTU_360	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	15	0	11
OTU_537	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_7	18	249	2	7	81	239	31	13	24	328	0	1	319	17	0	0	77	199	0	0	455	79	15	29	131	96	63	0	221	278	0	15	198	15	22	0	3853	1714	23	53	211	261	19	12	127	604	10	176
OTU_62	9	0	15	0	42	251	56	6	61	132	0	9	0	0	0	0	0	18	0	0	15	0	0	12	0	8	0	0	0	20	0	0	0	5	7	0	2	0	3	0	0	0	0	0	0	0	0	0
OTU_490	3	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	26	413	9	56	23	8	0	6	0
OTU_485	1	0	0	0	11	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0
OTU_818	3	0	12	0	43	16	0	3	0	38	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	5	0	0	46	11	2	0	12	18	1	0	0	6	0	0	27	10	5	18
OTU_17	3	1	27	11	0	0	1	61	8	14	0	0	110	182	181	93	197	119	28	0	44	66	258	65	385	14	331	148	89	375	0	279	12	54	488	0	16	8	1	2	0	0	0	18	2	0	0	0
OTU_342	4	0	7	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_67	13	0	27	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	3	0	0	0	0	2	0	7	69	27	19	22	13	9	62	24	25	8	102
OTU_29	1	132	0	6	0	0	0	3	303	525	0	8	23	0	8	0	0	159	0	0	0	0	0	0	67	9	0	3	13	36	0	0	177	207	121	816	0	0	5	0	0	26	0	74	32	0	9	0
OTU_202	6	0	0	0	24	1	0	4	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	23	97	2	0	1	27	1	2	10	22	3	1
OTU_34	8	105	8	6	136	218	39	5	130	147	1	15	4	0	2	0	0	13	0	0	9	0	28	0	29	0	0	0	5	10	0	0	0	2	5	0	28	60	20	6	0	253	1	125	49	0	11	40
OTU_205	20	0	84	0	19	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0
