usearch v8.1.1861_i86linux32, 4.0Gb RAM (15.3Gb total), 4 cores
usearch -fastq_stats fastq/kf_stripped.fq -log stats.log 
Started Tue Jul  4 16:33:14 2017
00:07  46Mb  100.0% Reading fastq/kf_stripped.fq

Read length distribution
      L           N      Pct   AccPct
    519        7116     1.3%    38.7%
    518        6541     1.2%    39.9%
    517        7147     1.3%    41.2%
    516        7672     1.4%    42.7%
    515        7611     1.4%    44.1%
    514        7181     1.3%    45.4%
    513        7815     1.4%    46.8%
    512        7721     1.4%    48.2%
    511        8623     1.6%    49.8%
    510        9445     1.7%    51.6%
    509       11385     2.1%    53.7%
    508        9757     1.8%    55.5%
    507       15251     2.8%    58.3%
    506       14399     2.7%    60.9%
    505       12627     2.3%    63.3%
    504       12283     2.3%    65.5%
    503       17490     3.2%    68.7%
    502       14492     2.7%    71.4%
    501       10176     1.9%    73.3%
    500       12495     2.3%    75.6%
    499       12202     2.2%    77.8%
    498        9367     1.7%    79.6%
    497        8574     1.6%    81.1%
    496        6344     1.2%    82.3%
    495        6548     1.2%    83.5%
    494        6543     1.2%    84.7%
    493        6373     1.2%    85.9%
    492        4894     0.9%    86.8%
    491        4520     0.8%    87.6%
    490        4273     0.8%    88.4%
    489        6308     1.2%    89.6%
    488       12833     2.4%    92.0%
    487        4832     0.9%    92.8%
    486        3624     0.7%    93.5%
    485        3487     0.6%    94.2%
    484        1981     0.4%    94.5%
    483        1519     0.3%    94.8%
    482        1673     0.3%    95.1%
    481        1561     0.3%    95.4%
    480        1582     0.3%    95.7%
    479        1712     0.3%    96.0%
    478        1872     0.3%    96.3%
    477        2012     0.4%    96.7%
    476        1940     0.4%    97.1%
    475        2029     0.4%    97.4%
    474        2196     0.4%    97.9%
    473        2320     0.4%    98.3%
    472        2194     0.4%    98.7%
    471        1449     0.3%    98.9%
    470         944     0.2%    99.1%
    469         879     0.2%    99.3%
    468         663     0.1%    99.4%
    467         497     0.1%    99.5%
    466         433     0.1%    99.6%
    465         375     0.1%    99.6%
    464         286     0.1%    99.7%
    463         244     0.0%    99.7%
    462         261     0.0%    99.8%
    461         170     0.0%    99.8%
    460         194     0.0%    99.9%
    459         181     0.0%    99.9%
    458         110     0.0%    99.9%
    457          61     0.0%    99.9%
    456          60     0.0%    99.9%
    455          44     0.0%    99.9%
    454          13     0.0%    99.9%
    453          10     0.0%    99.9%
    452           3     0.0%    99.9%
    451           4     0.0%    99.9%
    450           8     0.0%   100.0%
    449           4     0.0%   100.0%
    448           3     0.0%   100.0%
    447           4     0.0%   100.0%
    446           1     0.0%   100.0%
    444           2     0.0%   100.0%
    443           2     0.0%   100.0%
    442           1     0.0%   100.0%
    438           4     0.0%   100.0%
    433           1     0.0%   100.0%
    425           1     0.0%   100.0%
    398           1     0.0%   100.0%
    396           1     0.0%   100.0%
    393           1     0.0%   100.0%
    392           1     0.0%   100.0%
    387           1     0.0%   100.0%
    367           1     0.0%   100.0%
    366           1     0.0%   100.0%
    275           1     0.0%   100.0%
    272           1     0.0%   100.0%
    271           2     0.0%   100.0%
    268           2     0.0%   100.0%
    267           2     0.0%   100.0%
    262           1     0.0%   100.0%
    248           1     0.0%   100.0%
    245           1     0.0%   100.0%
    241           1     0.0%   100.0%
    224           1     0.0%   100.0%
    214           1     0.0%   100.0%
    201           1     0.0%   100.0%
    186           1     0.0%   100.0%
    180           1     0.0%   100.0%
    164           1     0.0%   100.0%
    155           1     0.0%   100.0%
    150           1     0.0%   100.0%
    140           1     0.0%   100.0%
    138           2     0.0%   100.0%
    111           1     0.0%   100.0%
    109           1     0.0%   100.0%
    108           1     0.0%   100.0%
     97           1     0.0%   100.0%
     95           1     0.0%   100.0%
     91           1     0.0%   100.0%
     90           2     0.0%   100.0%
     89           1     0.0%   100.0%
     86           2     0.0%   100.0%
     85           1     0.0%   100.0%
     84           1     0.0%   100.0%
     83           3     0.0%   100.0%
     82           2     0.0%   100.0%
     81           3     0.0%   100.0%
     80           1     0.0%   100.0%
     79           3     0.0%   100.0%
     78           2     0.0%   100.0%
     77           5     0.0%   100.0%
     76           2     0.0%   100.0%
     75           4     0.0%   100.0%
     74           4     0.0%   100.0%
     73           6     0.0%   100.0%
     72           4     0.0%   100.0%
     71           3     0.0%   100.0%
     70           6     0.0%   100.0%
     69           7     0.0%   100.0%
     68           7     0.0%   100.0%
     67           4     0.0%   100.0%
     66           5     0.0%   100.0%
     65           5     0.0%   100.0%
     64          18     0.0%   100.0%
     63          11     0.0%   100.0%
     62           3     0.0%   100.0%
     61           7     0.0%   100.0%
     60          12     0.0%   100.0%
     59           9     0.0%   100.0%
     58           2     0.0%   100.0%
     57           4     0.0%   100.0%
     56           1     0.0%   100.0%
     55           9     0.0%   100.0%
     54          25     0.0%   100.0%
     53          18     0.0%   100.0%
     52           3     0.0%   100.0%
     51           1     0.0%   100.0%

Q score distribution
ASCII    Q       Pe           N      Pct   AccPct
-----  ---  -------  ----------  -------  -------
    I   40  0.00010    91824451    31.6%    31.6%
    H   39  0.00013    18431997     6.3%    38.0%
    G   38  0.00016     4549325     1.6%    39.5%
    F   37  0.00020    13966023     4.8%    44.4%
    E   36  0.00025     5819642     2.0%    46.4%
    D   35  0.00032     6286881     2.2%    48.5%
    C   34  0.00040     6871770     2.4%    50.9%
    B   33  0.00050     4868617     1.7%    52.6%
    A   32  0.00063     6121537     2.1%    54.7%
    @   31  0.00079     5350259     1.8%    56.5%
    ?   30  0.00100     6203332     2.1%    58.7%
    >   29  0.00126     3750767     1.3%    59.9%
    =   28  0.00158     4870870     1.7%    61.6%
    <   27  0.00200     5699251     2.0%    63.6%
    ;   26  0.00251     4205084     1.4%    65.0%
    :   25  0.00316     5329753     1.8%    66.9%
    9   24  0.00398     3611909     1.2%    68.1%
    8   23  0.00501     4922190     1.7%    69.8%
    7   22  0.00631     4683994     1.6%    71.4%
    6   21  0.00794     4806336     1.7%    73.1%
    5   20  0.01000     3524639     1.2%    74.3%
    4   19  0.01259     5908955     2.0%    76.3%
    3   18  0.01585     5408667     1.9%    78.2%
    2   17  0.01995     5888028     2.0%    80.2%
    1   16  0.02512     5260113     1.8%    82.0%
    0   15  0.03162     6351625     2.2%    84.2%
    /   14  0.03981     3118255     1.1%    85.3%
    .   13  0.05012     7857878     2.7%    88.0%
    -   12  0.06310     7314281     2.5%    90.5%
    ,   11  0.07943    25715250     8.9%    99.4%
    +   10  0.10000      186960     0.1%    99.4%
    *    9  0.12589      317332     0.1%    99.6%
    )    8  0.15849      743776     0.3%    99.8%
    (    7  0.19953       32039     0.0%    99.8%
    !    0  1.00000      517384     0.2%   100.0%

    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
    2   100.0%  29.9    0.001   0.00342   0.01   0.003423    0.342%
    3   100.0%  38.1  0.00016   0.00108   0.01   0.002643    0.264%
    4   100.0%  38.6  0.00013  0.000388   0.01   0.002079    0.208%
    5   100.0%  38.8  0.00013  0.000388   0.01   0.001741    0.174%
    6   100.0%  38.8  0.00013  0.000364   0.01   0.001511    0.151%
    7   100.0%  38.7  0.00013  0.000395   0.01   0.001352    0.135%
    8   100.0%  38.6  0.00013  0.000452   0.01   0.001239    0.124%
    9   100.0%  38.6  0.00013  0.000498   0.01   0.001157    0.116%
   10   100.0%  38.7  0.00013   0.00053   0.01   0.001094    0.109%
   11   100.0%  38.9  0.00013  0.000386   0.01   0.001030    0.103%
   12   100.0%  39.0  0.00013  0.000384   0.01   0.000976    0.098%
   13   100.0%  38.8  0.00013  0.000559   0.01   0.000944    0.094%
   14   100.0%  38.8  0.00013  0.000657   0.01   0.000923    0.092%
   15   100.0%  37.7  0.00016   0.00091   0.01   0.000923    0.092%
   16   100.0%  37.7  0.00016  0.000972   0.01   0.000926    0.093%
   17   100.0%  37.7  0.00016  0.000997   0.02   0.000930    0.093%
   18   100.0%  38.7  0.00013  0.000812   0.02   0.000923    0.092%
   19   100.0%  38.7  0.00013  0.000777   0.02   0.000916    0.092%
   20   100.0%  38.8  0.00013  0.000707   0.02   0.000905    0.091%
   21   100.0%  38.8  0.00013  0.000739   0.02   0.000897    0.090%
   22   100.0%  39.0  0.00013   0.00058   0.02   0.000883    0.088%
   23   100.0%  38.3  0.00016  0.000516   0.02   0.000867    0.087%
   24   100.0%  38.4  0.00016  0.000525   0.02   0.000853    0.085%
   25   100.0%  38.4  0.00016  0.000952   0.02   0.000857    0.086%
   26   100.0%  38.4  0.00016  0.000632   0.02   0.000848    0.085%
   27   100.0%  38.2  0.00016   0.00141   0.02   0.000869    0.087%
   28   100.0%  38.2  0.00016  0.000696   0.02   0.000863    0.086%
   29   100.0%  38.2  0.00016    0.0008   0.02   0.000860    0.086%
   30   100.0%  38.2  0.00016  0.000913   0.03   0.000862    0.086%
   31   100.0%  38.5  0.00016   0.00068   0.03   0.000856    0.086%
   32   100.0%  38.6  0.00013  0.000505   0.03   0.000845    0.085%
   33   100.0%  38.5  0.00016  0.000816   0.03   0.000845    0.084%
   34   100.0%  38.4  0.00016   0.00136   0.03   0.000860    0.086%
   35   100.0%  38.5  0.00016   0.00123   0.03   0.000870    0.087%
   36   100.0%  38.4  0.00016  0.000571   0.03   0.000862    0.086%
   37   100.0%  38.1  0.00016  0.000682   0.03   0.000857    0.086%
   38   100.0%  38.0  0.00016  0.000818   0.03   0.000856    0.086%
   39   100.0%  38.0  0.00016  0.000992   0.03   0.000860    0.086%
   40   100.0%  38.4  0.00016  0.000989   0.03   0.000863    0.086%
   41   100.0%  38.5  0.00013  0.000988   0.04   0.000866    0.087%
   42   100.0%  38.5  0.00013   0.00104   0.04   0.000870    0.087%
   43   100.0%  38.4  0.00016  0.000707   0.04   0.000866    0.087%
   44   100.0%  37.8  0.00016   0.00114   0.04   0.000872    0.087%
   45   100.0%  37.6  0.00016   0.00145   0.04   0.000885    0.089%
   46   100.0%  37.2   0.0002   0.00192   0.04   0.000908    0.091%
   47   100.0%  37.2   0.0002   0.00312   0.04   0.000955    0.095%
   48   100.0%  37.0   0.0002    0.0052   0.05   0.001043    0.104%
   49   100.0%  37.0   0.0002   0.00539   0.06   0.001132    0.113%
   50   100.0%  36.7   0.0002   0.00552   0.06   0.001220    0.122%
   51   100.0%  36.3  0.00025   0.00496   0.07   0.001293    0.129%
   52   100.0%  35.6  0.00025   0.00548   0.07   0.001373    0.137%
   53   100.0%  35.0  0.00032   0.00626   0.08   0.001465    0.147%
   54   100.0%  34.9  0.00032   0.00811   0.09   0.001589    0.159%
   55   100.0%  35.1  0.00032   0.00706   0.09   0.001688    0.169%
   56   100.0%  35.2  0.00032   0.00613   0.10   0.001767    0.177%
   57   100.0%  35.3  0.00032   0.00642   0.11   0.001848    0.185%
   58   100.0%  35.2  0.00032   0.00739   0.11   0.001944    0.194%
   59   100.0%  34.9  0.00032    0.0074   0.12   0.002036    0.204%
   60   100.0%  35.2  0.00032   0.00727   0.13   0.002123    0.212%
   61   100.0%  35.1  0.00032   0.00693   0.13   0.002201    0.220%
   62   100.0%  35.0  0.00032   0.00804   0.14   0.002295    0.230%
   63   100.0%  34.9  0.00032   0.00806   0.15   0.002386    0.239%
   64   100.0%  35.2  0.00032   0.00794   0.16   0.002473    0.247%
   65   100.0%  35.4  0.00032   0.00883   0.17   0.002570    0.257%
   66   100.0%  35.8  0.00025   0.00847   0.18   0.002659    0.266%
   67   100.0%  35.5  0.00032   0.00921   0.18   0.002756    0.276%
   68   100.0%  35.5  0.00025   0.00865   0.19   0.002842    0.284%
   69   100.0%  35.6  0.00025   0.00852   0.20   0.002924    0.292%
   70   100.0%  35.5  0.00025   0.00777   0.21   0.002991    0.299%
   71   100.0%  35.9  0.00025   0.00764   0.22   0.003055    0.306%
   72   100.0%  36.0  0.00025   0.00707   0.22   0.003110    0.311%
   73   100.0%  36.1  0.00025   0.00681   0.23   0.003160    0.316%
   74   100.0%  36.2  0.00025   0.00646   0.24   0.003203    0.320%
   75   100.0%  35.9  0.00025   0.00629   0.24   0.003243    0.324%
   76   100.0%  35.6  0.00025   0.00631   0.25   0.003282    0.328%
   77   100.0%  35.4  0.00032   0.00662   0.26   0.003325    0.332%
   78   100.0%  35.1  0.00032   0.00695   0.26   0.003369    0.337%
   79   100.0%  35.1  0.00032   0.00714   0.27   0.003416    0.342%
   80   100.0%  35.1  0.00032   0.00765   0.28   0.003467    0.347%
   81   100.0%  35.2  0.00032   0.00788   0.29   0.003521    0.352%
   82   100.0%  35.3  0.00032   0.00802   0.29   0.003575    0.357%
   83   100.0%  35.6  0.00025   0.00838   0.30   0.003632    0.363%
   84   100.0%  35.8  0.00025   0.00817   0.31   0.003685    0.368%
   85   100.0%  35.5  0.00032   0.00847   0.32   0.003741    0.374%
   86   100.0%  35.0  0.00032   0.00838   0.33   0.003794    0.379%
   87   100.0%  34.7  0.00032   0.00805   0.33   0.003842    0.384%
   88   100.0%  34.1   0.0004   0.00805   0.34   0.003890    0.389%
   89   100.0%  34.1   0.0004   0.00802   0.35   0.003937    0.394%
   90   100.0%  34.0   0.0004   0.00773   0.36   0.003978    0.398%
   91   100.0%  34.1   0.0004   0.00755   0.37   0.004017    0.402%
   92   100.0%  34.9  0.00032   0.00698   0.37   0.004049    0.405%
   93   100.0%  35.2  0.00032   0.00645   0.38   0.004075    0.407%
   94   100.0%  35.4  0.00032   0.00609   0.39   0.004096    0.410%
   95   100.0%  36.0  0.00025   0.00574   0.39   0.004113    0.411%
   96   100.0%  36.1  0.00025   0.00562   0.40   0.004129    0.413%
   97   100.0%  36.0  0.00025   0.00569   0.40   0.004145    0.415%
   98   100.0%  36.0  0.00025   0.00575   0.41   0.004161    0.416%
   99   100.0%  35.6  0.00025   0.00591   0.41   0.004179    0.418%
  100   100.0%  35.1  0.00032   0.00633   0.42   0.004200    0.420%
  101   100.0%  34.8  0.00032   0.00655   0.43   0.004224    0.422%
  102   100.0%  34.8  0.00032   0.00672   0.43   0.004248    0.425%
  103   100.0%  34.5   0.0004    0.0069   0.44   0.004274    0.427%
  104   100.0%  34.2   0.0004   0.00709   0.45   0.004301    0.430%
  105   100.0%  34.7  0.00032   0.00686   0.45   0.004325    0.433%
  106   100.0%  34.6  0.00032   0.00705   0.46   0.004351    0.435%
  107   100.0%  34.7  0.00032   0.00683   0.47   0.004374    0.437%
  108   100.0%  34.9  0.00032    0.0068   0.47   0.004397    0.440%
  109   100.0%  34.6  0.00032   0.00697   0.48   0.004420    0.442%
  110   100.0%  34.8  0.00032   0.00721   0.49   0.004445    0.445%
  111   100.0%  34.9  0.00032   0.00709   0.50   0.004469    0.447%
  112   100.0%  34.4   0.0004   0.00746   0.50   0.004495    0.450%
  113   100.0%  34.4   0.0004   0.00753   0.51   0.004522    0.452%
  114   100.0%  34.3   0.0004   0.00743   0.52   0.004548    0.455%
  115   100.0%  34.0   0.0004   0.00751   0.53   0.004573    0.457%
  116   100.0%  34.3   0.0004    0.0073   0.53   0.004597    0.460%
  117   100.0%  34.1   0.0004   0.00763   0.54   0.004623    0.462%
  118   100.0%  33.7   0.0004    0.0078   0.55   0.004650    0.465%
  119   100.0%  33.9   0.0004   0.00789   0.56   0.004677    0.468%
  120   100.0%  33.8   0.0004   0.00789   0.56   0.004704    0.470%
  121   100.0%  33.7   0.0004    0.0079   0.57   0.004730    0.473%
  122   100.0%  33.7   0.0004   0.00786   0.58   0.004756    0.476%
  123   100.0%  34.1   0.0004     0.008   0.59   0.004782    0.478%
  124   100.0%  34.3   0.0004   0.00759   0.60   0.004805    0.480%
  125   100.0%  33.9   0.0004   0.00778   0.60   0.004829    0.483%
  126   100.0%  33.6   0.0004   0.00813   0.61   0.004855    0.485%
  127   100.0%  33.7   0.0004   0.00803   0.62   0.004880    0.488%
  128   100.0%  33.4   0.0005   0.00832   0.63   0.004907    0.491%
  129   100.0%  33.2   0.0005   0.00847   0.64   0.004934    0.493%
  130   100.0%  33.5   0.0004   0.00826   0.64   0.004960    0.496%
  131   100.0%  33.2   0.0005    0.0087   0.65   0.004988    0.499%
  132   100.0%  33.1   0.0005    0.0091   0.66   0.005020    0.502%
  133   100.0%  33.2   0.0005   0.00922   0.67   0.005051    0.505%
  134   100.0%  33.0   0.0005    0.0093   0.68   0.005083    0.508%
  135   100.0%  32.8   0.0005   0.00957   0.69   0.005116    0.512%
  136   100.0%  32.3  0.00063      0.01   0.70   0.005152    0.515%
  137   100.0%  32.1  0.00063    0.0103   0.71   0.005190    0.519%
  138   100.0%  32.3  0.00063    0.0102   0.72   0.005227    0.523%
  139   100.0%  32.3  0.00063    0.0101   0.73   0.005262    0.526%
  140   100.0%  32.1  0.00063    0.0105   0.74   0.005299    0.530%
  141   100.0%  32.3  0.00063    0.0103   0.75   0.005334    0.533%
  142   100.0%  31.7  0.00063    0.0107   0.76   0.005372    0.537%
  143   100.0%  31.6  0.00063    0.0111   0.77   0.005413    0.541%
  144   100.0%  31.8  0.00063    0.0116   0.79   0.005456    0.546%
  145   100.0%  31.9  0.00063    0.0119   0.80   0.005500    0.550%
